"행정구역","2016년07월_총인구수","2016년07월_세대수","2016년07월_세대당 인구","2016년07월_남자 인구수","2016년07월_여자 인구수","2016년07월_남여 비율","2016년08월_총인구수","2016년08월_세대수","2016년08월_세대당 인구","2016년08월_남자 인구수","2016년08월_여자 인구수","2016년08월_남여 비율","2016년09월_총인구수","2016년09월_세대수","2016년09월_세대당 인구","2016년09월_남자 인구수","2016년09월_여자 인구수","2016년09월_남여 비율","2016년10월_총인구수","2016년10월_세대수","2016년10월_세대당 인구","2016년10월_남자 인구수","2016년10월_여자 인구수","2016년10월_남여 비율","2016년11월_총인구수","2016년11월_세대수","2016년11월_세대당 인구","2016년11월_남자 인구수","2016년11월_여자 인구수","2016년11월_남여 비율","2016년12월_총인구수","2016년12월_세대수","2016년12월_세대당 인구","2016년12월_남자 인구수","2016년12월_여자 인구수","2016년12월_남여 비율","2017년01월_총인구수","2017년01월_세대수","2017년01월_세대당 인구","2017년01월_남자 인구수","2017년01월_여자 인구수","2017년01월_남여 비율","2017년02월_총인구수","2017년02월_세대수","2017년02월_세대당 인구","2017년02월_남자 인구수","2017년02월_여자 인구수","2017년02월_남여 비율","2017년03월_총인구수","2017년03월_세대수","2017년03월_세대당 인구","2017년03월_남자 인구수","2017년03월_여자 인구수","2017년03월_남여 비율","2017년04월_총인구수","2017년04월_세대수","2017년04월_세대당 인구","2017년04월_남자 인구수","2017년04월_여자 인구수","2017년04월_남여 비율","2017년05월_총인구수","2017년05월_세대수","2017년05월_세대당 인구","2017년05월_남자 인구수","2017년05월_여자 인구수","2017년05월_남여 비율","2017년06월_총인구수","2017년06월_세대수","2017년06월_세대당 인구","2017년06월_남자 인구수","2017년06월_여자 인구수","2017년06월_남여 비율"
"경기도 평택시 (4122000000)","466,327","192,778","          2.42","237,727","228,600","          1.04","467,255","193,383","          2.42","238,260","228,995","          1.04","467,873","193,890","          2.41","238,599","229,274","          1.04","468,854","194,597","          2.41","239,217","229,637","          1.04","469,889","195,263","          2.41","239,818","230,071","          1.04","470,832","195,970","          2.40","240,345","230,487","          1.04","472,141","196,782","          2.40","241,053","231,088","          1.04","473,738","197,878","          2.39","242,100","231,638","          1.05","474,672","198,851","          2.39","242,692","231,980","          1.05","475,157","199,284","          2.38","242,977","232,180","          1.05","475,830","199,889","          2.38","243,401","232,429","          1.05","476,353","200,333","          2.38","243,730","232,623","          1.05"
"경기도 평택시 팽성읍(4122025000)","29,135","14,360","          2.03","14,730","14,405","          1.02","29,133","14,402","          2.02","14,744","14,389","          1.02","29,090","14,409","          2.02","14,721","14,369","          1.02","29,052","14,459","          2.01","14,720","14,332","          1.03","29,071","14,494","          2.01","14,746","14,325","          1.03","29,075","14,541","          2.00","14,754","14,321","          1.03","28,942","14,542","          1.99","14,689","14,253","          1.03","28,905","14,604","          1.98","14,702","14,203","          1.04","28,937","14,673","          1.97","14,737","14,200","          1.04","28,994","14,700","          1.97","14,761","14,233","          1.04","29,043","14,738","          1.97","14,774","14,269","          1.04","29,027","14,725","          1.97","14,767","14,260","          1.04"
"경기도 평택시 안중읍(4122025300)","40,047","14,933","          2.68","20,211","19,836","          1.02","40,036","14,934","          2.68","20,208","19,828","          1.02","40,073","14,978","          2.68","20,227","19,846","          1.02","40,527","15,189","          2.67","20,473","20,054","          1.02","40,974","15,417","          2.66","20,698","20,276","          1.02","41,182","15,557","          2.65","20,795","20,387","          1.02","41,352","15,656","          2.64","20,891","20,461","          1.02","41,525","15,792","          2.63","21,001","20,524","          1.02","41,723","15,916","          2.62","21,130","20,593","          1.03","41,792","16,001","          2.61","21,169","20,623","          1.03","41,948","16,100","          2.61","21,269","20,679","          1.03","42,071","16,164","          2.60","21,348","20,723","          1.03"
"경기도 평택시 포승읍(4122025600)","26,622","12,907","          2.06","15,292","11,330","          1.35","26,530","12,906","          2.06","15,262","11,268","          1.35","26,581","12,939","          2.05","15,282","11,299","          1.35","26,533","12,937","          2.05","15,278","11,255","          1.36","26,273","12,856","          2.04","15,152","11,121","          1.36","26,149","12,828","          2.04","15,113","11,036","          1.37","26,070","12,848","          2.03","15,081","10,989","          1.37","26,094","12,889","          2.02","15,117","10,977","          1.38","26,145","12,926","          2.02","15,152","10,993","          1.38","26,130","12,925","          2.02","15,140","10,990","          1.38","26,123","12,938","          2.02","15,123","11,000","          1.37","26,100","12,926","          2.02","15,114","10,986","          1.38"
"경기도 평택시 청북읍(4122025900)","23,266","8,985","          2.59","12,273","10,993","          1.12","23,602","9,115","          2.59","12,418","11,184","          1.11","23,774","9,191","          2.59","12,519","11,255","          1.11","23,927","9,260","          2.58","12,586","11,341","          1.11","24,554","9,479","          2.59","12,897","11,657","          1.11","24,903","9,620","          2.59","13,067","11,836","          1.10","25,107","9,674","          2.60","13,186","11,921","          1.11","25,249","9,717","          2.60","13,259","11,990","          1.11","25,353","9,737","          2.60","13,318","12,035","          1.11","25,453","9,761","          2.61","13,368","12,085","          1.11","25,557","9,790","          2.61","13,419","12,138","          1.11","25,595","9,805","          2.61","13,455","12,140","          1.11"
"경기도 평택시 진위면(4122031000)","12,536","5,630","          2.23","6,636","5,900","          1.12","12,509","5,621","          2.23","6,627","5,882","          1.13","12,525","5,644","          2.22","6,630","5,895","          1.12","12,507","5,654","          2.21","6,623","5,884","          1.13","12,544","5,687","          2.21","6,646","5,898","          1.13","12,570","5,718","          2.20","6,655","5,915","          1.13","12,571","5,727","          2.20","6,653","5,918","          1.12","12,588","5,731","          2.20","6,664","5,924","          1.12","12,564","5,739","          2.19","6,643","5,921","          1.12","12,521","5,740","          2.18","6,627","5,894","          1.12","12,519","5,759","          2.17","6,633","5,886","          1.13","12,484","5,753","          2.17","6,622","5,862","          1.13"
"경기도 평택시 서탄면(4122032000)","4,146","1,956","          2.12","2,223","1,923","          1.16","4,154","1,969","          2.11","2,229","1,925","          1.16","4,150","1,972","          2.10","2,230","1,920","          1.16","4,148","1,974","          2.10","2,236","1,912","          1.17","4,154","1,978","          2.10","2,238","1,916","          1.17","4,141","1,977","          2.09","2,225","1,916","          1.16","4,120","1,968","          2.09","2,215","1,905","          1.16","4,103","1,968","          2.08","2,210","1,893","          1.17","4,098","1,971","          2.08","2,220","1,878","          1.18","4,099","1,970","          2.08","2,224","1,875","          1.19","4,105","1,970","          2.08","2,228","1,877","          1.19","4,106","1,973","          2.08","2,224","1,882","          1.18"
"경기도 평택시 고덕면(4122033000)","11,870","4,631","          2.56","6,176","5,694","          1.08","11,811","4,606","          2.56","6,144","5,667","          1.08","11,816","4,609","          2.56","6,146","5,670","          1.08","11,756","4,606","          2.55","6,111","5,645","          1.08","11,695","4,588","          2.55","6,094","5,601","          1.09","11,638","4,576","          2.54","6,067","5,571","          1.09","11,557","4,550","          2.54","6,025","5,532","          1.09","11,504","4,545","          2.53","5,996","5,508","          1.09","11,416","4,513","          2.53","5,958","5,458","          1.09","11,400","4,501","          2.53","5,943","5,457","          1.09","11,350","4,485","          2.53","5,920","5,430","          1.09","11,291","4,462","          2.53","5,899","5,392","          1.09"
"경기도 평택시 오성면(4122034000)","7,202","3,126","          2.30","3,770","3,432","          1.10","7,165","3,118","          2.30","3,759","3,406","          1.10","7,164","3,119","          2.30","3,753","3,411","          1.10","7,178","3,131","          2.29","3,751","3,427","          1.09","7,188","3,136","          2.29","3,754","3,434","          1.09","7,186","3,138","          2.29","3,747","3,439","          1.09","7,199","3,145","          2.29","3,750","3,449","          1.09","7,187","3,139","          2.29","3,742","3,445","          1.09","7,199","3,154","          2.28","3,751","3,448","          1.09","7,198","3,165","          2.27","3,748","3,450","          1.09","7,212","3,180","          2.27","3,754","3,458","          1.09","7,234","3,193","          2.27","3,762","3,472","          1.08"
"경기도 평택시 현덕면(4122037000)","6,158","2,924","          2.11","3,238","2,920","          1.11","6,144","2,923","          2.10","3,236","2,908","          1.11","6,149","2,923","          2.10","3,245","2,904","          1.12","6,108","2,915","          2.10","3,225","2,883","          1.12","6,092","2,908","          2.09","3,213","2,879","          1.12","6,091","2,915","          2.09","3,210","2,881","          1.11","6,068","2,919","          2.08","3,203","2,865","          1.12","6,039","2,914","          2.07","3,180","2,859","          1.11","6,010","2,901","          2.07","3,168","2,842","          1.11","6,002","2,901","          2.07","3,157","2,845","          1.11","5,977","2,890","          2.07","3,142","2,835","          1.11","5,980","2,894","          2.07","3,149","2,831","          1.11"
