"행정구역","2026년01월_계_총인구수","2026년01월_계_연령구간인구수","2026년01월_계_0~9세","2026년01월_계_10~19세","2026년01월_계_20~29세","2026년01월_계_30~39세","2026년01월_계_40~49세","2026년01월_계_50~59세","2026년01월_계_60~69세","2026년01월_계_70~79세","2026년01월_계_80~89세","2026년01월_계_90~99세","2026년01월_계_100세 이상","2026년01월_남_총인구수","2026년01월_남_연령구간인구수","2026년01월_남_0~9세","2026년01월_남_10~19세","2026년01월_남_20~29세","2026년01월_남_30~39세","2026년01월_남_40~49세","2026년01월_남_50~59세","2026년01월_남_60~69세","2026년01월_남_70~79세","2026년01월_남_80~89세","2026년01월_남_90~99세","2026년01월_남_100세 이상","2026년01월_여_총인구수","2026년01월_여_연령구간인구수","2026년01월_여_0~9세","2026년01월_여_10~19세","2026년01월_여_20~29세","2026년01월_여_30~39세","2026년01월_여_40~49세","2026년01월_여_50~59세","2026년01월_여_60~69세","2026년01월_여_70~79세","2026년01월_여_80~89세","2026년01월_여_90~99세","2026년01월_여_100세 이상","2026년02월_계_총인구수","2026년02월_계_연령구간인구수","2026년02월_계_0~9세","2026년02월_계_10~19세","2026년02월_계_20~29세","2026년02월_계_30~39세","2026년02월_계_40~49세","2026년02월_계_50~59세","2026년02월_계_60~69세","2026년02월_계_70~79세","2026년02월_계_80~89세","2026년02월_계_90~99세","2026년02월_계_100세 이상","2026년02월_남_총인구수","2026년02월_남_연령구간인구수","2026년02월_남_0~9세","2026년02월_남_10~19세","2026년02월_남_20~29세","2026년02월_남_30~39세","2026년02월_남_40~49세","2026년02월_남_50~59세","2026년02월_남_60~69세","2026년02월_남_70~79세","2026년02월_남_80~89세","2026년02월_남_90~99세","2026년02월_남_100세 이상","2026년02월_여_총인구수","2026년02월_여_연령구간인구수","2026년02월_여_0~9세","2026년02월_여_10~19세","2026년02월_여_20~29세","2026년02월_여_30~39세","2026년02월_여_40~49세","2026년02월_여_50~59세","2026년02월_여_60~69세","2026년02월_여_70~79세","2026년02월_여_80~89세","2026년02월_여_90~99세","2026년02월_여_100세 이상","2026년03월_계_총인구수","2026년03월_계_연령구간인구수","2026년03월_계_0~9세","2026년03월_계_10~19세","2026년03월_계_20~29세","2026년03월_계_30~39세","2026년03월_계_40~49세","2026년03월_계_50~59세","2026년03월_계_60~69세","2026년03월_계_70~79세","2026년03월_계_80~89세","2026년03월_계_90~99세","2026년03월_계_100세 이상","2026년03월_남_총인구수","2026년03월_남_연령구간인구수","2026년03월_남_0~9세","2026년03월_남_10~19세","2026년03월_남_20~29세","2026년03월_남_30~39세","2026년03월_남_40~49세","2026년03월_남_50~59세","2026년03월_남_60~69세","2026년03월_남_70~79세","2026년03월_남_80~89세","2026년03월_남_90~99세","2026년03월_남_100세 이상","2026년03월_여_총인구수","2026년03월_여_연령구간인구수","2026년03월_여_0~9세","2026년03월_여_10~19세","2026년03월_여_20~29세","2026년03월_여_30~39세","2026년03월_여_40~49세","2026년03월_여_50~59세","2026년03월_여_60~69세","2026년03월_여_70~79세","2026년03월_여_80~89세","2026년03월_여_90~99세","2026년03월_여_100세 이상","2026년04월_계_총인구수","2026년04월_계_연령구간인구수","2026년04월_계_0~9세","2026년04월_계_10~19세","2026년04월_계_20~29세","2026년04월_계_30~39세","2026년04월_계_40~49세","2026년04월_계_50~59세","2026년04월_계_60~69세","2026년04월_계_70~79세","2026년04월_계_80~89세","2026년04월_계_90~99세","2026년04월_계_100세 이상","2026년04월_남_총인구수","2026년04월_남_연령구간인구수","2026년04월_남_0~9세","2026년04월_남_10~19세","2026년04월_남_20~29세","2026년04월_남_30~39세","2026년04월_남_40~49세","2026년04월_남_50~59세","2026년04월_남_60~69세","2026년04월_남_70~79세","2026년04월_남_80~89세","2026년04월_남_90~99세","2026년04월_남_100세 이상","2026년04월_여_총인구수","2026년04월_여_연령구간인구수","2026년04월_여_0~9세","2026년04월_여_10~19세","2026년04월_여_20~29세","2026년04월_여_30~39세","2026년04월_여_40~49세","2026년04월_여_50~59세","2026년04월_여_60~69세","2026년04월_여_70~79세","2026년04월_여_80~89세","2026년04월_여_90~99세","2026년04월_여_100세 이상","2026년05월_계_총인구수","2026년05월_계_연령구간인구수","2026년05월_계_0~9세","2026년05월_계_10~19세","2026년05월_계_20~29세","2026년05월_계_30~39세","2026년05월_계_40~49세","2026년05월_계_50~59세","2026년05월_계_60~69세","2026년05월_계_70~79세","2026년05월_계_80~89세","2026년05월_계_90~99세","2026년05월_계_100세 이상","2026년05월_남_총인구수","2026년05월_남_연령구간인구수","2026년05월_남_0~9세","2026년05월_남_10~19세","2026년05월_남_20~29세","2026년05월_남_30~39세","2026년05월_남_40~49세","2026년05월_남_50~59세","2026년05월_남_60~69세","2026년05월_남_70~79세","2026년05월_남_80~89세","2026년05월_남_90~99세","2026년05월_남_100세 이상","2026년05월_여_총인구수","2026년05월_여_연령구간인구수","2026년05월_여_0~9세","2026년05월_여_10~19세","2026년05월_여_20~29세","2026년05월_여_30~39세","2026년05월_여_40~49세","2026년05월_여_50~59세","2026년05월_여_60~69세","2026년05월_여_70~79세","2026년05월_여_80~89세","2026년05월_여_90~99세","2026년05월_여_100세 이상","2026년06월_계_총인구수","2026년06월_계_연령구간인구수","2026년06월_계_0~9세","2026년06월_계_10~19세","2026년06월_계_20~29세","2026년06월_계_30~39세","2026년06월_계_40~49세","2026년06월_계_50~59세","2026년06월_계_60~69세","2026년06월_계_70~79세","2026년06월_계_80~89세","2026년06월_계_90~99세","2026년06월_계_100세 이상","2026년06월_남_총인구수","2026년06월_남_연령구간인구수","2026년06월_남_0~9세","2026년06월_남_10~19세","2026년06월_남_20~29세","2026년06월_남_30~39세","2026년06월_남_40~49세","2026년06월_남_50~59세","2026년06월_남_60~69세","2026년06월_남_70~79세","2026년06월_남_80~89세","2026년06월_남_90~99세","2026년06월_남_100세 이상","2026년06월_여_총인구수","2026년06월_여_연령구간인구수","2026년06월_여_0~9세","2026년06월_여_10~19세","2026년06월_여_20~29세","2026년06월_여_30~39세","2026년06월_여_40~49세","2026년06월_여_50~59세","2026년06월_여_60~69세","2026년06월_여_70~79세","2026년06월_여_80~89세","2026년06월_여_90~99세","2026년06월_여_100세 이상"
"경기도 평택시 (4122000000)","612,095","612,095","46,482","58,921","72,262","99,674","101,074","101,813","75,655","35,875","17,337","2,937","65","321,133","321,133","23,586","30,033","40,247","56,232","54,998","53,571","38,931","16,426","6,364","736","9","290,962","290,962","22,896","28,888","32,015","43,442","46,076","48,242","36,724","19,449","10,973","2,201","56","613,456","613,456","46,493","58,951","72,081","99,855","101,318","102,118","76,148","36,070","17,378","2,978","66","321,932","321,932","23,616","30,046","40,151","56,340","55,175","53,722","39,228","16,525","6,374","744","11","291,524","291,524","22,877","28,905","31,930","43,515","46,143","48,396","36,920","19,545","11,004","2,234","55","615,107","615,107","46,369","59,051","72,049","100,493","101,310","102,256","76,539","36,525","17,428","3,020","67","322,980","322,980","23,590","30,096","40,211","56,743","55,216","53,806","39,417","16,740","6,398","752","11","292,127","292,127","22,779","28,955","31,838","43,750","46,094","48,450","37,122","19,785","11,030","2,268","56","616,517","616,517","46,305","59,136","72,059","100,847","101,389","102,596","76,871","36,787","17,413","3,043","71","323,931","323,931","23,541","30,118","40,288","57,009","55,272","54,036","39,635","16,875","6,392","754","11","292,586","292,586","22,764","29,018","31,771","43,838","46,117","48,560","37,236","19,912","11,021","2,289","60","618,234","618,234","46,269","59,256","72,100","101,357","101,637","102,884","77,158","36,989","17,442","3,072","70","325,013","325,013","23,520","30,178","40,386","57,313","55,427","54,256","39,771","16,988","6,405","756","13","293,221","293,221","22,749","29,078","31,714","44,044","46,210","48,628","37,387","20,001","11,037","2,316","57","619,670","619,670","46,290","59,337","72,154","101,733","101,939","102,985","77,445","37,152","17,499","3,069","67","325,937","325,937","23,550","30,191","40,492","57,565","55,618","54,321","39,923","17,078","6,428","758","13","293,733","293,733","22,740","29,146","31,662","44,168","46,321","48,664","37,522","20,074","11,071","2,311","54"
"경기도 평택시 팽성읍(4122025000)","26,902","26,902","1,156","1,772","2,412","2,979","3,485","4,917","5,093","3,054","1,741","287","6","14,092","14,092","601","938","1,349","1,702","1,969","2,736","2,741","1,381","601","73","1","12,810","12,810","555","834","1,063","1,277","1,516","2,181","2,352","1,673","1,140","214","5","26,857","26,857","1,154","1,756","2,409","2,959","3,476","4,897","5,107","3,060","1,743","290","6","14,085","14,085","604","932","1,352","1,698","1,957","2,726","2,753","1,386","603","73","1","12,772","12,772","550","824","1,057","1,261","1,519","2,171","2,354","1,674","1,140","217","5","26,882","26,882","1,140","1,755","2,402","2,963","3,468","4,910","5,114","3,087","1,738","299","6","14,103","14,103","598","933","1,347","1,694","1,957","2,743","2,751","1,399","605","75","1","12,779","12,779","542","822","1,055","1,269","1,511","2,167","2,363","1,688","1,133","224","5","26,961","26,961","1,131","1,757","2,406","2,972","3,471","4,924","5,135","3,113","1,738","308","6","14,134","14,134","592","933","1,346","1,709","1,947","2,756","2,761","1,410","601","78","1","12,827","12,827","539","824","1,060","1,263","1,524","2,168","2,374","1,703","1,137","230","5","26,997","26,997","1,130","1,746","2,401","2,963","3,485","4,937","5,146","3,129","1,737","316","7","14,150","14,150","593","922","1,349","1,699","1,955","2,762","2,763","1,427","599","80","1","12,847","12,847","537","824","1,052","1,264","1,530","2,175","2,383","1,702","1,138","236","6","26,999","26,999","1,129","1,752","2,411","2,963","3,486","4,938","5,130","3,134","1,733","316","7","14,160","14,160","585","928","1,358","1,702","1,954","2,763","2,756","1,431","602","80","1","12,839","12,839","544","824","1,053","1,261","1,532","2,175","2,374","1,703","1,131","236","6"
"경기도 평택시 안중읍(4122025300)","41,093","41,093","2,054","4,812","5,071","4,746","6,678","8,483","5,246","2,501","1,277","219","6","21,437","21,437","1,015","2,433","2,778","2,778","3,480","4,503","2,803","1,105","484","57","1","19,656","19,656","1,039","2,379","2,293","1,968","3,198","3,980","2,443","1,396","793","162","5","40,952","40,952","2,033","4,765","5,021","4,739","6,617","8,458","5,288","2,519","1,288","216","8","21,391","21,391","1,011","2,418","2,749","2,778","3,455","4,486","2,838","1,114","485","55","2","19,561","19,561","1,022","2,347","2,272","1,961","3,162","3,972","2,450","1,405","803","161","6","40,833","40,833","2,011","4,733","4,989","4,731","6,541","8,448","5,307","2,548","1,293","225","7","21,342","21,342","998","2,398","2,737","2,790","3,415","4,479","2,849","1,129","489","56","2","19,491","19,491","1,013","2,335","2,252","1,941","3,126","3,969","2,458","1,419","804","169","5","40,705","40,705","1,993","4,712","4,959","4,689","6,475","8,439","5,332","2,576","1,290","233","7","21,259","21,259","986","2,395","2,723","2,765","3,381","4,463","2,856","1,142","488","58","2","19,446","19,446","1,007","2,317","2,236","1,924","3,094","3,976","2,476","1,434","802","175","5","40,657","40,657","1,979","4,694","4,932","4,710","6,454","8,423","5,342","2,583","1,298","235","7","21,249","21,249","984","2,388","2,707","2,779","3,379","4,456","2,861","1,149","486","58","2","19,408","19,408","995","2,306","2,225","1,931","3,075","3,967","2,481","1,434","812","177","5","40,712","40,712","1,973","4,661","4,974","4,742","6,440","8,423","5,363","2,586","1,309","235","6","21,299","21,299","981","2,367","2,736","2,803","3,380","4,447","2,879","1,153","493","58","2","19,413","19,413","992","2,294","2,238","1,939","3,060","3,976","2,484","1,433","816","177","4"
"경기도 평택시 포승읍(4122025600)","21,530","21,530","870","1,447","2,577","3,168","3,592","4,198","3,280","1,514","734","148","2","13,386","13,386","407","756","1,748","2,249","2,422","2,795","1,920","767","282","39","1","8,144","8,144","463","691","829","919","1,170","1,403","1,360","747","452","109","1","21,409","21,409","847","1,420","2,543","3,164","3,557","4,187","3,294","1,510","734","151","2","13,320","13,320","395","744","1,722","2,247","2,405","2,785","1,936","766","281","38","1","8,089","8,089","452","676","821","917","1,152","1,402","1,358","744","453","113","1","21,338","21,338","828","1,420","2,527","3,155","3,523","4,175","3,298","1,517","739","154","2","13,283","13,283","387","740","1,717","2,242","2,383","2,783","1,935","772","284","39","1","8,055","8,055","441","680","810","913","1,140","1,392","1,363","745","455","115","1","21,200","21,200","793","1,413","2,525","3,107","3,499","4,155","3,292","1,523","741","150","2","13,224","13,224","370","743","1,720","2,216","2,365","2,783","1,924","779","285","38","1","7,976","7,976","423","670","805","891","1,134","1,372","1,368","744","456","112","1","21,175","21,175","788","1,398","2,525","3,100","3,495","4,159","3,291","1,526","741","150","2","13,210","13,210","368","740","1,709","2,212","2,359","2,786","1,938","781","279","37","1","7,965","7,965","420","658","816","888","1,136","1,373","1,353","745","462","113","1","21,171","21,171","785","1,384","2,519","3,124","3,481","4,157","3,291","1,535","740","153","2","13,221","13,221","370","728","1,705","2,231","2,354","2,784","1,949","781","281","37","1","7,950","7,950","415","656","814","893","1,127","1,373","1,342","754","459","116","1"
"경기도 평택시 청북읍(4122025900)","25,941","25,941","2,195","3,783","2,201","3,310","5,621","3,948","2,694","1,408","654","125","2","14,043","14,043","1,146","1,983","1,249","1,866","3,061","2,322","1,424","694","269","29","0","11,898","11,898","1,049","1,800","952","1,444","2,560","1,626","1,270","714","385","96","2","25,949","25,949","2,170","3,780","2,216","3,283","5,620","3,972","2,709","1,417","654","126","2","14,063","14,063","1,140","1,982","1,262","1,839","3,069","2,335","1,439","700","267","30","0","11,886","11,886","1,030","1,798","954","1,444","2,551","1,637","1,270","717","387","96","2","25,924","25,924","2,130","3,788","2,215","3,263","5,607","3,989","2,717","1,437","647","128","3","14,069","14,069","1,115","1,993","1,259","1,827","3,068","2,353","1,449","709","265","31","0","11,855","11,855","1,015","1,795","956","1,436","2,539","1,636","1,268","728","382","97","3","25,835","25,835","2,099","3,780","2,220","3,237","5,584","3,984","2,714","1,439","652","123","3","14,014","14,014","1,098","1,982","1,259","1,813","3,053","2,352","1,447","714","265","31","0","11,821","11,821","1,001","1,798","961","1,424","2,531","1,632","1,267","725","387","92","3","25,831","25,831","2,072","3,796","2,224","3,236","5,579","3,988","2,703","1,450","655","125","3","14,020","14,020","1,089","1,991","1,268","1,818","3,039","2,365","1,431","720","267","32","0","11,811","11,811","983","1,805","956","1,418","2,540","1,623","1,272","730","388","93","3","25,892","25,892","2,052","3,816","2,223","3,266","5,584","3,995","2,714","1,458","658","123","3","14,042","14,042","1,075","2,002","1,267","1,835","3,039","2,358","1,447","723","265","31","0","11,850","11,850","977","1,814","956","1,431","2,545","1,637","1,267","735","393","92","3"
"경기도 평택시 진위면(4122031000)","10,586","10,586","256","584","1,177","1,250","1,368","1,953","2,084","1,229","569","116","0","5,916","5,916","133","298","713","828","853","1,090","1,124","604","238","35","0","4,670","4,670","123","286","464","422","515","863","960","625","331","81","0","10,557","10,557","251","582","1,171","1,237","1,352","1,957","2,089","1,234","569","115","0","5,899","5,899","128","301","710","811","846","1,095","1,127","609","237","35","0","4,658","4,658","123","281","461","426","506","862","962","625","332","80","0","10,612","10,612","254","578","1,170","1,251","1,349","1,941","2,116","1,264","577","112","0","5,909","5,909","131","303","714","819","841","1,088","1,130","615","236","32","0","4,703","4,703","123","275","456","432","508","853","986","649","341","80","0","10,614","10,614","247","578","1,167","1,246","1,352","1,938","2,117","1,274","580","115","0","5,921","5,921","126","304","716","814","848","1,092","1,130","620","240","31","0","4,693","4,693","121","274","451","432","504","846","987","654","340","84","0","10,627","10,627","248","572","1,184","1,250","1,354","1,918","2,133","1,275","580","113","0","5,925","5,925","126","298","728","817","852","1,079","1,134","619","241","31","0","4,702","4,702","122","274","456","433","502","839","999","656","339","82","0","10,639","10,639","247","566","1,190","1,255","1,360","1,919","2,137","1,270","585","110","0","5,942","5,942","126","293","733","820","859","1,083","1,134","619","242","33","0","4,697","4,697","121","273","457","435","501","836","1,003","651","343","77","0"
"경기도 평택시 서탄면(4122032000)","3,330","3,330","85","160","240","291","368","572","779","497","278","59","1","1,848","1,848","44","93","148","188","236","344","424","258","97","16","0","1,482","1,482","41","67","92","103","132","228","355","239","181","43","1","3,326","3,326","83","160","235","287","368","578","780","496","280","58","1","1,845","1,845","43","92","145","185","237","345","427","256","98","17","0","1,481","1,481","40","68","90","102","131","233","353","240","182","41","1","3,334","3,334","82","162","240","282","370","581","776","501","278","61","1","1,845","1,845","42","94","148","179","239","344","427","257","98","17","0","1,489","1,489","40","68","92","103","131","237","349","244","180","44","1","3,325","3,325","80","164","235","281","373","581","765","508","278","59","1","1,842","1,842","42","93","147","176","240","347","420","262","98","17","0","1,483","1,483","38","71","88","105","133","234","345","246","180","42","1","3,301","3,301","76","160","229","279","369","579","759","511","278","60","1","1,835","1,835","40","92","144","176","236","349","416","265","100","17","0","1,466","1,466","36","68","85","103","133","230","343","246","178","43","1","3,300","3,300","76","158","230","276","367","578","759","516","279","60","1","1,840","1,840","40","90","144","177","237","353","414","268","100","17","0","1,460","1,460","36","68","86","99","130","225","345","248","179","43","1"
"경기도 평택시 고덕면(4122033000)","12,871","12,871","723","762","1,498","2,236","1,838","2,243","1,967","1,025","495","83","1","7,024","7,024","377","384","872","1,380","1,107","1,175","1,001","511","195","22","0","5,847","5,847","346","378","626","856","731","1,068","966","514","300","61","1","12,848","12,848","718","755","1,480","2,220","1,836","2,243","1,977","1,038","494","86","1","7,036","7,036","380","383","870","1,374","1,107","1,178","1,008","519","196","21","0","5,812","5,812","338","372","610","846","729","1,065","969","519","298","65","1","12,867","12,867","713","760","1,466","2,243","1,823","2,258","1,975","1,054","489","85","1","7,061","7,061","379","381","873","1,390","1,101","1,186","1,013","525","191","22","0","5,806","5,806","334","379","593","853","722","1,072","962","529","298","63","1","12,842","12,842","713","761","1,457","2,248","1,807","2,251","1,969","1,062","484","89","1","7,063","7,063","376","380","880","1,394","1,095","1,188","1,011","529","190","20","0","5,779","5,779","337","381","577","854","712","1,063","958","533","294","69","1","12,832","12,832","714","759","1,459","2,240","1,807","2,232","1,986","1,060","487","87","1","7,053","7,053","375","378","880","1,385","1,098","1,179","1,020","527","191","20","0","5,779","5,779","339","381","579","855","709","1,053","966","533","296","67","1","12,812","12,812","718","753","1,461","2,233","1,792","2,229","1,991","1,057","491","86","1","7,052","7,052","380","375","884","1,388","1,088","1,183","1,017","526","191","20","0","5,760","5,760","338","378","577","845","704","1,046","974","531","300","66","1"
"경기도 평택시 오성면(4122034000)","6,025","6,025","148","371","478","482","673","1,117","1,422","767","470","93","4","3,217","3,217","88","172","281","303","404","634","788","363","165","18","1","2,808","2,808","60","199","197","179","269","483","634","404","305","75","3","6,014","6,014","148","364","481","482","662","1,115","1,425","774","467","92","4","3,214","3,214","88","172","281","299","398","637","787","367","165","19","1","2,800","2,800","60","192","200","183","264","478","638","407","302","73","3","6,025","6,025","152","357","483","487","668","1,106","1,432","779","462","95","4","3,227","3,227","89","169","282","302","404","634","788","375","164","19","1","2,798","2,798","63","188","201","185","264","472","644","404","298","76","3","6,020","6,020","149","356","478","485","665","1,098","1,438","787","460","100","4","3,223","3,223","87","169","280","300","401","629","794","379","162","21","1","2,797","2,797","62","187","198","185","264","469","644","408","298","79","3","6,014","6,014","145","357","468","494","662","1,096","1,436","795","454","104","3","3,216","3,216","85","171","270","306","399","627","792","383","160","22","1","2,798","2,798","60","186","198","188","263","469","644","412","294","82","2","5,987","5,987","143","353","462","492","655","1,099","1,434","789","455","103","2","3,203","3,203","82","169","269","305","396","631","786","379","163","22","1","2,784","2,784","61","184","193","187","259","468","648","410","292","81","1"
"경기도 평택시 현덕면(4122037000)","11,859","11,859","979","901","1,036","1,864","1,867","1,958","1,644","1,008","492","108","2","6,235","6,235","489","471","556","1,031","1,065","1,028","888","513","173","20","1","5,624","5,624","490","430","480","833","802","930","756","495","319","88","1","12,547","12,547","1,064","977","1,112","1,985","2,013","2,069","1,703","1,018","491","114","1","6,590","6,590","527","509","596","1,098","1,137","1,087","924","520","168","23","1","5,957","5,957","537","468","516","887","876","982","779","498","323","91","0","13,142","13,142","1,139","1,033","1,161","2,156","2,102","2,131","1,763","1,038","502","116","1","6,880","6,880","571","538","609","1,181","1,185","1,107","962","530","172","24","1","6,262","6,262","568","495","552","975","917","1,024","801","508","330","92","0","14,390","14,390","1,267","1,107","1,315","2,420","2,314","2,361","1,896","1,084","507","118","1","7,527","7,527","629","577","693","1,320","1,303","1,219","1,031","556","173","25","1","6,863","6,863","638","530","622","1,100","1,011","1,142","865","528","334","93","0","15,263","15,263","1,334","1,175","1,403","2,579","2,444","2,566","2,016","1,108","514","122","2","7,981","7,981","666","601","747","1,407","1,376","1,313","1,098","572","173","26","2","7,282","7,282","668","574","656","1,172","1,068","1,253","918","536","341","96","0","15,865","15,865","1,383","1,229","1,461","2,684","2,550","2,674","2,106","1,132","519","125","2","8,305","8,305","694","636","770","1,468","1,431","1,374","1,141","587","175","27","2","7,560","7,560","689","593","691","1,216","1,119","1,300","965","545","344","98","0"
