행정구역명,lat,lon
경기도 평택시 고덕동,37.0480854,127.0363555
경기도 평택시 고덕면,37.0334835,127.0132264
경기도 평택시 동삭동,37.01523,127.09986
경기도 평택시 비전1동,37.0109396,127.1121799
경기도 평택시 비전2동,36.9944637,127.1109292
경기도 평택시 서정동,37.0678815,127.0546499
경기도 평택시 서탄면,37.1088408,127.0277445
경기도 평택시 세교동,37.0061508,127.0834733
경기도 평택시 송북동,37.0816418,127.0602516
경기도 평택시 송탄동,37.0444047,127.0948511
경기도 평택시 신장1동,37.0839883,127.052366
경기도 평택시 신장2동,37.0764317,127.0524406
경기도 평택시 신평동,,
경기도 평택시 안중읍,36.9871501,126.9271689
경기도 평택시 오성면,37.0102258,126.9842484
경기도 평택시 용이동,37.00004,127.14214
경기도 평택시 원평동,36.9892586,127.0804766
경기도 평택시 중앙동,37.0553622,127.0560079
경기도 평택시 지산동,37.0787341,127.0672852
경기도 평택시 진위면,37.10887,127.08407
경기도 평택시 청북읍,37.0392736,126.9330358
경기도 평택시 통복동,36.98963,127.07775
경기도 평택시 팽성읍,36.9612668,127.04395
경기도 평택시 포승읍,36.98084,126.86534
경기도 평택시 현덕면,36.9483725,126.9237016
